Time,Pressed/Released,x,y
1521957355.9773178, p, 1359, 550
1521957356.0368638, r, 1359, 549
1521957356.3392365, p, 1380, 333
1521957356.4168081, r, 1380, 333
1521957356.7193718, p, 1287, 267
1521957356.7729404, r, 1287, 267
1521957357.0522285, p, 1249, 462
1521957357.1049657, r, 1249, 462
1521957357.3781025, p, 1450, 349
1521957357.4230967, r, 1450, 349
1521957357.7176561, p, 1225, 302
1521957357.7568622, r, 1225, 302
1521957358.0197086, p, 1217, 425
1521957358.080916, r, 1217, 425
1521957358.3297875, p, 1402, 443
1521957358.3532407, r, 1402, 443
1521957358.6313508, p, 1395, 367
1521957358.679036, r, 1395, 367
1521957358.9259768, p, 1260, 360
1521957358.9630966, r, 1259, 365
1521957359.1956997, p, 1274, 456
1521957359.256978, r, 1274, 456
1521957359.4828603, p, 1342, 434
1521957359.5292227, r, 1342, 430
1521957359.7835896, p, 1328, 375
1521957359.831013, r, 1328, 375
1521957360.0775526, p, 1412, 340
1521957360.1250181, r, 1412, 340
1521957360.4193742, p, 1570, 308
1521957360.4730544, r, 1570, 308
1521957360.698883, p, 1612, 251
1521957360.7589245, r, 1612, 251
1521957361.0379314, p, 1660, 217
1521957361.107421, r, 1668, 213
1521957361.3316412, p, 1723, 182
1521957361.3932707, r, 1723, 182
1521957361.781631, p, 1759, 186
1521957361.8273723, r, 1759, 186
1521957362.1162877, p, 1634, 248
1521957362.1669078, r, 1634, 248
1521957362.4314888, p, 1468, 307
1521957362.4849796, r, 1468, 307
1521957362.7333775, p, 1356, 374
1521957362.7951763, r, 1356, 374
1521957363.0818422, p, 1213, 451
1521957363.1430326, r, 1213, 451
1521957368.2289188, p, 286, 392
1521957368.2892175, r, 286, 392
