Time,Pressed/Released,Key
1522728848.591353, p, s
1522728848.784536, p, s
1522728848.9289079, p, s
1522728849.0909195, p, s
1522728849.238788, p, s
1522728849.4278982, p, s
1522728849.6156564, p, s
1522728849.7829595, p, s
1522728849.9568248, p, s
1522728850.0997093, p, s
1522728851.1403174, p, h
1522728851.640431, p, h
1522728851.6714222, p, h
1522728851.7022095, p, h
1522728851.7326872, p, h
1522728851.7636485, p, h
1522728851.794892, p, h
1522728851.8247983, p, h
1522728851.8553367, p, h
1522728851.886562, p, h
1522728853.9643247, p, a
1522728854.3116798, p, a
1522728856.1003249, p, t
1522728856.6004097, p, t
1522728856.6317558, p, t
1522728856.6624756, p, t
1522728856.6932793, p, t
1522728856.7237008, p, t
1522728856.7544508, p, t
1522728856.7852979, p, t
1522728856.816431, p, t
1522728856.8469913, p, t
1522728856.8782449, p, t
1522728856.9076424, p, t
1522728856.937908, p, t
1522728856.968288, p, t
1522728856.9986246, p, t
1522728857.0290997, p, t
1522728857.0595722, p, t
1522728857.0902975, p, t
1522728857.121832, p, t
1522728857.1522303, p, t
1522728858.5544481, p, z
1522728858.748292, p, z
1522728858.9540844, p, z
