Time,Pressed/Released,x,y
1522080864.160498, p, 159, 459
1522080864.1746767, r, 159, 459
1522080864.5460215, p, 159, 459
1522080864.5539763, r, 159, 459
1522080864.7301948, p, 159, 459
1522080864.7376018, r, 159, 459
1522080865.2656927, p, 157, 401
1522080865.2807064, r, 157, 401
1522080865.7565198, p, 157, 310
1522080865.7655325, r, 157, 310
1522080866.0619564, p, 157, 310
1522080866.068935, r, 157, 310
1522080866.724545, p, 550, 212
1522080866.729674, r, 550, 212
1522080867.2125227, p, 539, 379
1522080867.2196772, r, 539, 379
1522080867.7742116, p, 548, 497
1522080867.7822273, r, 548, 497
1522080868.5541933, p, 414, 512
1522080868.5648062, r, 414, 512
1522080869.396164, p, 344, 449
1522080869.4051473, r, 344, 449
1522771922.3460453, p, 385, 463
1522771922.354042, r, 385, 463
